GDP,EC,COAL,OIL,GINI,EMISSION
5.10E+11,5.62,1.32,61.4,35.2,385
5.40E+11,5.84,1.39,62.6,35.1,403.3
7.55E+11,6.4,1.65,66.5,36.4,446.5
8.93E+11,6.88,1.96,72.6,39.7,488.3
9.18E+11,7.32,2.22,76.4,39.7,529
9.13E+11,7.56,2.39,75.4,40,538.6
8.91E+11,7.02,1.89,74.4,39.4,487.6
8.61E+11,7.09,2.14,69.8,39.7,502.6
9.32E+11,7.17,2.23,67.6,38.6,502.3
1.02E+12,7.47,2.39,71.9,38.1,526.9
1.04E+12,8.07,2.84,73.4,37.8,575.3
1.12E+12,8.65,3.41,72.1,38.2,624.5
1.06E+12,8.1,3.26,63.9,37.82,579.9
25977153097,1.53,0.73,16.8,37.43,118.8
27309889125,1.6,0.75,18,37.05,125.1
30444618658,1.7,0.77,19.7,36.67,132.4
32716989584,1.8,0.8,21.5,36.28,139.7
36686079068,1.87,0.83,22.1,35.9,144.3
41337215814,2.05,0.83,24.4,35.52,155.3
45222309329,2.15,0.84,25.7,35.13,161.2
52051401869,2.25,0.87,26.1,34.75,168.2
63844971172,2.4,0.91,27.9,34.37,178.6
88981577008,2.55,0.95,29.5,33.98,189
97333060221,2.6,0.98,29.1,33.6,191.9
1.05E+11,2.69,1.01,29.8,33.22,198.4
1.10E+11,2.82,1.06,31.2,32.83,208.4
1.19E+11,2.91,1.09,31.7,32.45,215.1
1.35E+11,3.02,1.14,32.1,32.07,223.1
1.50E+11,3.03,1.17,30.6,31.68,224.3
1.77E+11,3.08,1.2,30.1,31.3,227.8
1.94E+11,3.05,1.21,29.6,31.6,226.8
1.77E+11,2.95,1.21,26.4,31.9,218
1.94E+11,3.06,1.28,27.3,32.2,226.8
1.81E+11,3.15,1.33,27.4,32.5,232.8
1.82E+11,3.21,1.36,27,32.68,237.7
1.89E+11,3.31,1.42,27.7,32.85,245.6
2.36E+11,3.46,1.49,28.9,33.03,257.1
3.00E+11,3.63,1.56,30.1,33.2,270.3
3.11E+11,3.71,1.6,30.8,33.1,274.9
3.26E+11,3.68,1.63,29.7,33,274.8
3.25E+11,3.74,1.64,30.4,32.9,278.7
3.12E+11,3.82,1.65,31.3,32.8,283.3
3.23E+11,3.97,1.69,32.5,32.7,293.3
3.68E+11,4.14,1.74,35.2,32.6,307.7
4.01E+11,4.27,1.81,36.2,32.75,318.1
4.35E+11,4.37,1.91,36.7,32.9,327.9
3.99E+11,4.47,1.99,36.7,33.05,337.4
3.89E+11,4.66,2.11,37.6,33.2,352.9
4.16E+11,4.69,2.13,37.6,33.35,355
3.79E+11,4.73,2.11,37.6,33.5,357.2
3.95E+11,4.82,2.16,38,33.5,363.8
4.67E+11,4.89,2.22,37.8,33.5,370.2
6.14E+11,5.04,2.31,38.8,33.1,383.2
6.95E+11,5.06,2.3,39.3,33.68,383
7.48E+11,5.28,2.36,40.5,34.25,398.6
8.54E+11,5.39,2.34,41.1,34.83,405.8
1.06E+12,5.46,2.44,41.3,35.4,415.2
9.28E+11,5.37,2.36,40.3,35.05,405.6
1.15E+12,5.33,2.19,40.8,34.7,396.5
1.40E+12,5.48,2.13,42.9,34.63,400.7
1.55E+12,5.42,2,44.5,34.55,393.1
1.58E+12,5.49,1.89,45.8,34.48,391.3
1.47E+12,5.54,1.88,45.9,34.4,396.4
1.35E+12,5.67,1.95,45.6,34.4,405.4
1.21E+12,5.7,1.94,45.7,34.4,403.2
1.33E+12,5.67,1.88,47.9,34.4,400.7
1.43E+12,5.7,1.83,48.7,34.4,396.6
1.39E+12,5.88,1.75,48.3,34.4,401
1.33E+12,5.57,1.69,41.9,34.4,372.3
