GDP,EC,COAL,OIL,GINI,EMISSION
18138049096,0.13,0.01,1.6,28.42,7.3
20249694002,0.13,0.01,1.7,27.58,7.5
18525399202,0.15,0.01,1.7,26.74,7.9
17609048822,0.14,0.01,1.5,25.9,7.5
18920840000,0.16,0.01,1.5,26.4,7.6
22278423077,0.17,0.01,1.7,26.9,8.9
21774033333,0.19,0.01,1.8,27.53,9.7
24298032258,0.21,0.01,1.8,28.17,10.6
26579005760,0.23,0.01,1.8,28.8,10.9
28781714764,0.25,0.01,1.9,28.4,11.8
31598341234,0.27,0.01,1.9,28,12.8
30957483950,0.26,0.01,1.7,27.6,12
31708874594,0.28,0.01,1.9,28.93,13.1
33166519418,0.31,0.01,2.2,30.25,14.1
33768660883,0.33,0.01,2.2,31.58,14.8
37939748769,0.39,0.01,2.9,32.9,18.2
46438484108,0.4,0.01,3,33,18.4
48244309133,0.42,0.01,3.4,33.1,20.8
49984559471,0.45,0.01,3.8,33.2,21.1
51270569884,0.46,0.01,3.4,33.3,21.9
53369787319,0.49,0.01,3.3,33.4,23.5
53991289844,0.56,0.01,4,33.36,27.7
54724081491,0.58,0.02,4,33.32,29.7
60158929188,0.61,0.01,4.1,33.28,30.8
65108544250,0.63,0.01,3.9,33.24,33
69442943089,0.68,0.03,3.9,33.2,36.4
71819083684,0.74,0.05,3.9,32.98,40.4
79611888213,0.76,0.04,3.7,32.76,40.8
91631278239,0.8,0.04,3.8,32.54,44.2
1.02E+11,0.88,0.05,3.5,32.32,49.2
1.15E+11,0.9,0.03,3.9,32.1,50.6
1.29E+11,0.98,0.05,5.1,32.15,56.5
1.33E+11,1.05,0.04,5.4,32.2,60.4
1.50E+11,1.08,0.05,5.3,32.25,62.7
1.73E+11,1.12,0.03,6,32.3,65.4
1.95E+11,1.31,0.09,6.3,32.35,78.1
2.21E+11,1.33,0.07,7,32.4,79.2
2.50E+11,1.38,0.08,7.8,32.45,83.1
2.74E+11,1.47,0.09,8.9,32.5,89.3
3.03E+11,1.64,0.14,8.8,32.55,100.6
3.23E+11,1.59,0.15,7.7,32.6,98
90950278258,6.52,2.04,87.9,32.65,446.9
1.06E+11,7.2,2.17,100,32.7,492.8
1.24E+11,8.25,2.39,123,32.75,578.2
1.47E+11,9.2,2.46,142.7,32.8,641.6
1.72E+11,10.49,2.62,169.1,32.85,731.5
2.13E+11,11.73,2.53,199.2,32.9,810.5
2.40E+11,12.49,2.3,219.8,32.95,845.3
3.18E+11,13.08,2.24,234.5,33,880.9
4.32E+11,14.53,2.37,269.2,33.05,995
4.80E+11,14.59,2.51,259,33.1,985.7
5.22E+11,13.93,2.35,244.1,33.15,923.6
5.86E+11,14.44,2.3,253.5,33.2,951.2
7.21E+11,14.55,2.17,260.5,33.25,960.7
1.01E+12,15.16,1.96,266.5,33.3,924.3
1.06E+12,15.75,2.1,269.1,33.35,949.7
1.11E+12,15.28,2.44,241.4,33.4,920.7
1.22E+12,15.06,2.73,227.7,33.45,914.7
1.13E+12,14.47,2.61,211.6,33.5,863.6
1.24E+12,14.66,2.57,211.3,33.55,864
1.32E+12,15.92,2.87,222,33.6,952.6
1.40E+12,16.03,3,210.2,33.65,930.5
2.08E+12,16.05,2.86,212.2,33.7,919.8
2.53E+12,16.37,2.91,213.1,33.75,927.6
3.07E+12,17.41,3.15,229.3,33.8,999.3
3.05E+12,18,3.15,238.2,33.85,1025.5
3.13E+12,18.67,3.27,248,33.9,1087
3.58E+12,19.09,3.24,250.6,33.95,1104.2
3.91E+12,19.3,3.19,256,34,1116.4
4.45E+12,19.58,3.25,250.4,34.05,1110.8
5.00E+12,20.33,3.4,264.9,34.1,1175
5.55E+12,21.36,3.53,274.8,34.15,1189.9
4.92E+12,21.77,3.62,276.5,34.2,1211.3
4.49E+12,22.18,3.72,273.3,34.25,1210.5
4.10E+12,21.73,3.54,263.3,34.3,1179.2
4.64E+12,22.09,3.73,267.4,34.35,1211.1
4.97E+12,22.33,4,263.6,34.4,1233.2
4.37E+12,22.12,4.09,255.5,34.45,1226.4
4.18E+12,22.15,4.35,253.3,34.5,1237.2
4.52E+12,22.08,4.47,259.5,34.55,1278
4.89E+12,22.32,4.59,252.7,34.6,1262
4.83E+12,22.4,4.81,248.5,34.65,1295.1
4.60E+12,22.34,4.72,239.5,34.7,1272.6
4.58E+12,22.11,4.96,232.3,34.75,1286.9
5.11E+12,21.73,5.09,224.1,34.8,1297.1
5.29E+12,19.81,4.27,199.9,33.45,1127.7
5.76E+12,21.11,4.87,201.9,32.1,1197.9
6.23E+12,20.02,4.62,202.4,32.37,1206.1
6.27E+12,19.89,4.88,216.6,32.63,1292.1
5.21E+12,19.73,5.07,206.5,32.9,1279.8
4.90E+12,19.22,4.99,196,33.54,1246.5
4.44E+12,18.92,5.03,187.9,34.19,1207.1
5.00E+12,18.7,5.02,182.5,34.83,1190
4.93E+12,18.91,5.1,179.7,35.48,1181.4
5.04E+12,18.8,4.99,174.3,36.12,1158.4
5.15E+12,18.37,4.91,168.3,36.77,1117.7
5.06E+12,17.03,4.57,149,37.41,1027
65292753005,0.25,0.01,4.4,38.06,14.8
68434409315,0.25,0.02,4.6,38.7,16.1
74317806538,0.25,0.02,3.9,38.85,14
79356449841,0.27,0.04,4.3,39,17.3
80604080689,0.29,0.05,4.1,39.15,17.9
82401038710,0.31,0.05,4.9,39.3,20.3
87428128124,0.33,0.06,5.2,39.08,21.7
87963042341,0.35,0.05,5.2,38.86,21.4
83990946939,0.36,0.06,5.6,38.63,23.3
80676681934,0.33,0.07,4.7,38.41,20.8
5929231415,0.29,0.06,3.8,38.19,19.5
6561108778,0.3,0.05,3.9,37.97,19.3
7464510710,0.33,0.05,4.3,37.74,21.1
8041999160,0.37,0.05,4.9,37.52,23.8
8683116338,0.37,0.05,4.6,37.3,23.2
10027509450,0.37,0.04,4.6,37.08,22.7
10665896682,0.36,0.03,4.3,36.86,20.9
9415016360,0.32,0.02,3.6,36.63,17.6
6383429490,0.34,0.02,3.6,36.41,18.6
8899191919,0.36,0.02,3.9,36.19,20
11230606061,0.39,0.02,4.1,35.97,21.1
13168080808,0.39,0.02,4.1,35.74,21.2
15126060606,0.43,0.02,4.3,35.52,22.7
17811515152,0.46,0.02,4.5,35.3,23.8
19688383838,0.5,0.03,4.8,35.08,25.8
23654444444,0.55,0.03,5,34.86,27.8
28100606061,0.59,0.03,5.3,34.63,29.6
30725971564,0.65,0.04,5.9,34.41,31.9
28691889764,0.7,0.04,6.5,34.19,34.2
31151825467,0.74,0.05,7,33.97,36.5
31144920844,0.78,0.06,7.5,33.74,39
31899070056,0.82,0.06,8.1,33.52,42.5
33351529275,0.92,0.07,8.8,33.3,47.4
38472742808,0.98,0.07,9.5,33.27,50.9
40171018229,1.04,0.08,10.2,33.23,55.3
40010423970,1.09,0.09,10.7,33.2,57.8
45625234698,1.15,0.09,11.3,32.45,61.4
48884606848,1.21,0.09,12.3,31.7,65.8
51809949334,1.34,0.09,13.5,30.95,72.5
52293456906,1.39,0.09,14.4,30.2,76.1
60636022423,1.46,0.09,15.7,29.45,80.7
63320122807,1.56,0.09,16.5,28.7,84.7
62433300338,1.51,0.09,17,30.9,85.9
62191955814,1.62,0.09,17.6,33.1,88.3
62973855719,1.69,0.09,18.2,32.2,94.1
82017743416,1.73,0.08,18.8,31.3,97.8
79484403985,1.77,0.09,18.5,30.4,98.9
79904985385,1.84,0.1,18,31.1,101.2
91760542940,2,0.13,15.9,31.8,106.6
1.08E+11,2.22,0.14,16,32.5,117.9
1.20E+11,2.31,0.16,15.2,32.7,120.2
1.37E+11,2.43,0.17,17.6,32.15,130.2
1.52E+11,2.59,0.23,19.1,31.6,142
1.70E+11,2.6,0.25,19.4,31,146.3
1.68E+11,2.64,0.21,20.7,30.4,146
1.77E+11,2.65,0.19,20.5,29.8,145.7
2.14E+11,2.65,0.17,20.7,30.9,144.1
2.24E+11,2.47,0.17,20,30.8,145.7
2.31E+11,2.69,0.13,21.9,30.7,146.7
2.44E+11,2.77,0.2,22.6,31.65,153.3
2.71E+11,2.92,0.19,24.6,32.6,160.9
2.79E+11,3.18,0.22,27.5,32.27,176.6
3.05E+11,3.37,0.3,28.3,31.93,190.4
3.15E+11,3.48,0.5,23.4,31.6,198.3
2.79E+11,3.51,0.56,20.7,32.45,197.4
2.63E+11,3.47,0.62,20.2,33.3,196
6081009428,0.19,0.01,4,34.15,13
6695336567,0.2,0.01,4.3,35,14.1
7086538438,0.24,0.01,5.1,35.85,16.3
7375000024,0.27,0.01,5.6,36.7,17.9
8177884553,0.32,0.01,7.1,37.55,22.3
10838587358,0.34,0.01,7.5,38.4,23.6
13703000530,0.36,0.01,7.7,39.25,24.3
14882747955,0.39,0.01,8.3,40.1,26.1
16985211146,0.42,0.01,8.7,40.95,27.6
19779315170,0.46,0.01,9.8,41.8,30.9
24006570178,0.5,0.01,11,42.65,34.8
27371699083,0.53,0.02,11.1,43.5,36.1
32353440727,0.53,0.02,11.6,44.35,37.7
34846107862,0.53,0.02,11,45.2,36.8
36589797857,0.55,0.03,10,45,36.4
40042826244,0.6,0.03,11.2,44.8,40.4
41797592963,0.66,0.03,11.6,44.6,44.1
38900692712,0.7,0.07,11,44.4,47
43096746122,0.74,0.07,11.5,44.2,48.7
50535438696,0.85,0.09,12.6,44,57.7
61667199835,0.95,0.1,14.2,43.8,64.9
72250877410,1.1,0.12,16.7,44.55,74.7
85343063966,1.3,0.16,20.1,45.3,89.7
98234695722,1.43,0.19,21.5,46.6,99.9
1.11E+11,1.58,0.2,24.2,47.9,110.4
1.29E+11,1.8,0.23,27.9,45.7,124.9
1.47E+11,2.02,0.26,31.2,43.5,140
1.69E+11,2.22,0.3,34,43.2,153.9
1.83E+11,2.5,0.37,37.4,42.9,171.9
1.50E+11,2.64,0.38,37.7,42.2,178.7
1.14E+11,2.45,0.3,34.5,41.5,163.8
1.27E+11,2.61,0.32,36.7,43.1,171.2
1.26E+11,2.65,0.33,34.2,42.8,168.2
